hydrogen production,forward bid
1.0,4.588235294117647
1.0,4.0
1.0,3.6078431372549016
1.0,4.441176470588235
1.0,5.519607843137255
1.0,5.813725490196079
1.0,6.941176470588235
1.0,6.8921568627450975
1.0,10.000000002447004
1.0,5.078431372549019
1.0,10.000000001241764
1.0,6.450980392156863
1.0,6.058823529411765
1.0,5.470588235294118
1.0,5.078431372549019
1.0,4.098039215686274
1.0,5.176470588235294
1.0,5.568627450980392
1.0,3.264705882352941
1.0,-1.0
1.0,-0.9999999999999991
1.0,-0.9999999999999998
1.0,0.2745098039215681
1.0,1.30392156862745
1.0,2.235294117647059
1.0,0.9117647058823519
1.0,0.5686274509803921
1.0,1.7450980392156858
1.0,1.8921568627450975
1.0,1.9411764705882346
1.0,1.450980392156862
0.0,2.156862745098039
0.0,2.5
0.0,2.254901960784313
0.0,2.8921568627450975
0.0,3.774509803921568
0.0,3.5784313725490193
0.0,2.794117647058823
0.0,3.5784313725490193
0.0,3.676470588235294
0.0,4.068627450980392
0.0,4.852941176470588
0.0,6.470588235294118
0.0,8.823529411764707
0.0,8.774509803921568
1.0,6.990196078431373
1.0,8.705882352941176
1.0,8.901960784313726
1.0,8.754901960784313
1.0,10.00000000164351
1.0,8.313725490196079
1.0,10.00000000241048
1.0,9.0
1.0,9.0
1.0,9.0
1.0,9.0
1.0,9.0
1.0,8.901960784313726
1.0,8.558823529411764
1.0,10.000000001424375
0.0,8.823529411764707
0.0,10.0
0.0,10.0
0.0,6.617647058823529
0.0,4.117647058823529
0.0,-1.000000002300915
0.0,-1.000000001205241
1.0,-1.0
1.0,10.000000001314808
1.0,10.000000002008736
1.0,10.00000000222787
1.0,8.65686274509804
1.0,8.852941176470587
1.0,8.901960784313726
1.0,8.901960784313726
1.0,8.852941176470587
1.0,8.901960784313726
1.0,8.901960784313726
1.0,8.901960784313726
1.0,8.901960784313726
1.0,8.901960784313726
1.0,8.901960784313726
1.0,8.607843137254902
1.0,8.754901960784313
1.0,8.852941176470587
1.0,8.901960784313726
1.0,8.901960784313726
1.0,8.901960784313726
1.0,8.901960784313726
1.0,8.901960784313726
1.0,8.901960784313726
0.0,9.852941176470587
1.0,7.921568627450981
1.0,7.137254901960784
1.0,6.5
0.0,4.46078431372549
1.0,-1.0
1.0,2.480392156862745
1.0,3.166666666666667
1.0,-1.0
1.0,-1.0
1.0,2.235294117647059
1.0,2.774509803921568
1.0,-1.0
1.0,-0.9999999999999996
1.0,-1.0
0.0,-1.0000000022643927
0.0,1.617647058823529
0.0,2.254901960784313
4.440892098500626e-16,3.137254901960784
1.0,4.53921568627451
0.0,7.5
0.0,6.127450980392157
1.0,10.00000000266614
1.0,7.382352941176471
1.0,7.8235294117647065
1.0,7.8235294117647065
1.0,7.333333333333334
1.0,5.617647058823529
1.0,5.911764705882353
1.0,10.000000001241764
1.0,5.666666666666666
1.0,6.303921568627451
1.0,10.0
1.0,6.696078431372549
1.0,5.568627450980392
1.0,6.1568627450980395
1.0,6.794117647058823
0.0,6.2254901960784315
1.0,4.784313725490197
1.0,5.2745098039215685
1.0,5.470588235294118
1.0,5.078431372549019
1.0,2.92156862745098
1.0,2.676470588235294
1.0,2.0392156862745088
1.0,1.794117647058823
1.0,2.186274509803921
1.0,3.754901960784313
1.0,3.4117647058823533
1.0,3.7058823529411757
1.0,3.5588235294117645
1.0,3.852941176470588
1.0,4.588235294117647
1.0,3.754901960784313
1.0,4.882352941176471
1.0,10.0000000017896
1.0,2.5784313725490193
1.0,1.107843137254902
1.0,0.8137254901960782
1.0,0.8627450980392148
0.0,2.30392156862745
0.0,3.872549019607843
0.0,7.990196078431373
0.0,8.03921568627451
0.0,8.235294117647058
0.0,10.0
0.0,4.509803921568627
1.0,2.92156862745098
1.0,3.166666666666667
0.0,5.294117647058823
1.0,5.421568627450981
1.0,5.078431372549019
1.0,7.872549019607842
1.0,10.00000000241048
1.0,10.00000000241048
1.0,10.00000000241048
1.0,8.901960784313726
1.0,8.901960784313726
