hydrogen production,forward bid
10.0,-4.411764705882353
10.0,-5.0
10.0,-5.392156862745098
10.0,-4.558823529411765
10.0,-3.480392156862745
10.0,-3.186274509803921
10.0,-2.0588235294117654
10.0,-2.1078431372549025
10.0,-2.9901960784313726
10.0,-3.9215686274509807
10.0,-4.166666666666666
10.0,-2.549019607843137
10.0,-2.9411764705882346
10.0,-3.5294117647058822
10.0,-3.9215686274509807
10.0,-4.901960784313726
10.0,-3.8235294117647056
10.0,-3.431372549019608
10.0,-5.735294117647059
10.0,-7.598039215686275
10.0,-8.529411764705884
10.0,-9.362745098039216
10.0,-8.725490196078432
10.0,-7.69607843137255
10.0,-6.764705882352941
10.0,-8.088235294117649
10.0,-8.431372549019608
10.0,-7.254901960784315
10.0,-7.1078431372549025
10.0,-7.058823529411765
10.0,-7.549019607843138
0.0,2.156862745098039
0.0,2.5
0.0,2.254901960784313
0.0,2.8921568627450975
0.0,3.774509803921568
0.0,3.5784313725490193
0.0,2.794117647058823
0.0,3.5784313725490193
0.0,3.676470588235294
0.0,4.068627450980392
0.0,4.852941176470588
0.0,6.470588235294118
0.0,8.823529411764707
0.0,8.774509803921568
10.0,-2.0098039215686274
10.0,-0.29411764705882426
10.0,-0.09803921568627416
10.0,-0.24509803921568718
10.0,-0.4411764705882355
10.0,-0.6862745098039209
10.0,-0.14705882352941302
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,-0.09803921568627416
10.0,-0.4411764705882355
10.0,-0.882352941176471
0.0,8.823529411764707
0.0,8.627450980392158
0.0,7.549019607843137
0.0,6.617647058823529
0.0,4.117647058823529
0.0,1.617647058823529
0.0,1.3235294117647058
10.0,-7.450980392156863
10.0,-4.852941176470589
10.0,-1.3725490196078418
10.0,-0.9313725490196081
10.0,-0.34313725490195957
10.0,-0.14705882352941302
10.0,-0.09803921568627416
10.0,-0.09803921568627416
10.0,-0.14705882352941302
10.0,-0.09803921568627416
10.0,-0.09803921568627416
10.0,-0.09803921568627416
10.0,-0.09803921568627416
10.0,-0.09803921568627416
10.0,-0.09803921568627416
10.0,-0.3921568627450984
10.0,-0.24509803921568718
10.0,-0.14705882352941302
10.0,-0.09803921568627416
10.0,-0.09803921568627416
10.0,-0.09803921568627416
10.0,-0.09803921568627416
10.0,-0.09803921568627416
10.0,-0.09803921568627416
0.0,9.852941176470587
10.0,-1.0784313725490193
10.0,-1.8627450980392162
10.0,-2.5
0.0,4.46078431372549
10.0,-7.450980392156863
10.0,-6.519607843137255
10.0,-5.833333333333333
10.0,-7.69607843137255
10.0,-7.990196078431373
10.0,-6.764705882352941
10.0,-6.225490196078432
10.0,-7.058823529411765
10.0,-7.794117647058824
10.0,-9.313725490196079
0.0,1.274509803921568
0.0,1.617647058823529
0.0,2.254901960784313
0.0,3.1372549019607843
10.0,-4.46078431372549
0.0,7.5
0.0,6.127450980392157
10.0,-2.549019607843137
10.0,-1.617647058823529
10.0,-1.1764705882352935
10.0,-1.1764705882352935
10.0,-1.666666666666666
10.0,-3.382352941176471
10.0,-3.0882352941176467
10.0,-4.166666666666666
10.0,-3.333333333333334
10.0,-2.696078431372549
10.0,-2.5
10.0,-2.303921568627451
10.0,-3.431372549019608
10.0,-2.8431372549019605
10.0,-2.2058823529411766
0.0,6.2254901960784315
