forward bid,hydrogen production
-4.451999664767008,10.0
-6.9484522662955905,10.0
-5.197990231440455,9.999999999201872
-6.077528941454848,10.0
-2.3767869845841503,9.999999999386954
-3.073510574114013,10.0
-3.166526743840425,10.0
-2.4968089435722725,10.0
-3.1705474606944914,10.0
-4.086831177851561,10.0
-3.532319879597801,9.99999999981759
-2.5557050542731226,10.0
-2.3188931921673,9.999999999612204
-2.5912630176018867,9.999999999162966
-3.055896011922421,10.0
-4.411541253022162,9.999999999949495
-3.3265187873315734,9.99999999960306
-2.373935932163734,10.0
-3.749674632406852,10.0
-5.796330691457818,10.0
-6.229799138406462,10.0
-7.404556873342506,9.999999999887155
-6.176124370440428,10.0
-7.700820489483324,10.0
-7.350363933605923,10.0
-7.738513293219237,10.0
-8.272388452027528,9.999999999728734
-8.428586528744194,10.0
-7.854389431666323,10.0
-7.3290023842432355,10.0
-5.168964323497435,9.99999999978189
3.4926004280785747,0.0
3.1625202167036592,0.0
1.8153187659624774,0.4395831948218354
0.5523911606890075,2.33976570205609
2.6778162392650935,1.0966935646564746
4.067711482531823,0.0
2.504406553248572,0.28971109381025073
3.181687174374689,0.39674419817433026
6.726832732774651,0.0
2.725155631429457,1.3434718195509348
7.399766852409434,0.0
5.720761328512927,0.7498269067811911
9.219655900038362,0.0
7.587134699360083,1.187375104561485
-2.3600993782005197,10.0
0.14445584402347222,9.99999999974598
-0.3327079436037561,10.0
-2.43992592469277,10.0
-1.852900268230238,10.0
-3.1386594818220486,10.0
-4.485506827727039,10.0
-1.3948251229965383,10.0
-1.268956582571164,10.0
0.9410428581048009,9.99999999913981
-0.6850162611274744,10.0
-2.006614668298676,10.0
-0.22690056663627267,10.0
-0.8260720524307494,10.0
-1.3270338657032141,10.0
8.628264923191747,0.0
5.891605042720795,0.0
7.427557848109151,0.0
7.652429619730426,0.0
4.345318885230343,0.0
3.927889593741315,0.0
4.024493385228138,2.220446049250313e-16
-3.5777195202524172,10.0
-5.001189152636889,10.0
-1.9747472325869762,10.0
-0.111628294237617,10.0
-0.09085404409384878,9.99999999912672
-2.0733788987851476,10.0
-1.885132813914602,10.0
-2.8973611227319296,10.0
-4.7360962592896225,10.0
-1.1679572655936,10.0
-1.7776850203726173,10.0
-0.09841184276094594,10.0
-1.1059861381776042,10.0
-0.28012049739875344,10.0
-0.4314369742500652,10.0
-1.2960111678896755,10.0
-0.5296715893268118,10.0
-1.371283360429251,10.0
-0.8314911254981112,10.0
-1.155350673217761,10.0
0.663444921888992,9.999999999229672
-4.700910604064774,10.0
0.9079109216601431,10.0
0.5970749312881374,9.999999999943647
7.433984501484948,0.0
-1.773777518711177,10.0
-1.283544681682864,10.0
-3.3961217609755003,10.0
3.2850730852331607,0.0
-6.945325886066666,10.0
-7.985807956481327,10.0
-8.932153892700155,10.0
-8.359603006899466,10.0
-7.833778627038599,10.0
-7.294078591493652,10.0
-5.844118102224111,10.0
-6.095084064225885,10.0
-7.030025028140841,9.99999999968155
-8.816566102934297,10.0
0.8583333951549084,0.0
1.3491734602000505,0.2684735986234785
1.163278020523785,1.091623940260528
2.8384371404026782,0.298817761558106
-3.715101228215943,9.999999999663821
7.0408285315062376,0.45917146849376245
4.930499018431884,1.1969519619602735
-5.629034083730804,10.0
-0.079925146755361,9.999999999377092
-2.311254298427688,10.0
-0.7697731874937261,9.999999999172697
-0.5144670409162035,10.0
-2.7720392981465363,9.999999999740117
-2.2859747787992344,10.0
-4.666883823919651,10.0
-4.606831457633668,10.0
-4.8348958304536716,10.0
-4.596124171650928,10.0
-2.7669254547705098,10.0
-2.980102309089342,9.999999999497419
-2.532511315001008,10.0
-2.1370464791348294,9.99999999935044
4.777005320188647,1.4484848758897844
-4.244479074422243,10.0
-5.326603822126511,10.0
-5.466976591697064,10.0
-5.217254936985066,10.0
-5.022152854739718,9.999999999660462
